"term","estimate","std.error","X2.5..","X97.5..","bias","rmse","coverage","method","sim_id","missing_type"
"V1",0.129313318439556,0.0558350711567592,0.0195924689653058,0.239034167913805,-0.0706866815604444,1.04757519226872,1,"multiple",1,"MCAR_0.1"
"V2",0.20801396135671,0.0587635407764518,0.0925557344372189,0.3234721882762,0.0080139613567097,1.04757519226872,1,"multiple",1,"MCAR_0.1"
"V3",0.198161259324776,0.0598358192145742,0.080596340765478,0.315726177884073,-0.00183874067522449,1.04757519226872,1,"multiple",1,"MCAR_0.1"
"V4",0.188314012167222,0.0617909558263816,0.0669067313542912,0.309721292980154,-0.0116859878327776,1.04757519226872,1,"multiple",1,"MCAR_0.1"
"(Intercept)",-0.0391823907361341,0.047098189293715,-0.131719405541499,0.053354624069231,-0.0391823907361341,1.04656331710892,1,"vae",1,"MCAR_0.1"
"V1",0.131330751657617,0.0552715997391029,0.0227348816236898,0.239926621691544,-0.0686692483423832,1.04656331710892,1,"vae",1,"MCAR_0.1"
"V2",0.206004630632902,0.0586836402751143,0.0907048925664189,0.321304368699384,0.00600463063290158,1.04656331710892,1,"vae",1,"MCAR_0.1"
"V3",0.197565646045258,0.0597515800788845,0.0801676540349468,0.31496363805557,-0.00243435395474182,1.04656331710892,1,"vae",1,"MCAR_0.1"
"V4",0.18950742942718,0.0616181623289847,0.0684420363574398,0.31057282249692,-0.0104925705728199,1.04656331710892,1,"vae",1,"MCAR_0.1"
"(Intercept)",-0.0378930791104867,0.0471087478308765,-0.130450838991709,0.0546646807707355,-0.0378930791104867,1.04684143822849,1,"single",1,"MCAR_0.25"
"V1",0.124984168064953,0.05548799240172,0.0159631366538128,0.234005199476094,-0.0750158319350469,1.04684143822849,1,"single",1,"MCAR_0.25"
"V2",0.216170758348258,0.0591177861426862,0.100018024377312,0.332323492319204,0.0161707583482581,1.04684143822849,1,"single",1,"MCAR_0.25"
"V3",0.196905318666504,0.0599955165242045,0.0790280481363464,0.314782589196662,-0.0030946813334958,1.04684143822849,1,"single",1,"MCAR_0.25"
"V4",0.1862158492151,0.0620494127216568,0.0643031491773009,0.308128549252899,-0.0137841507849001,1.04684143822849,1,"single",1,"MCAR_0.25"
"(Intercept)",-0.035069357292156,0.0473422276385945,-0.128087549894013,0.0579488353097007,-0.035069357292156,1.05051225665812,1,"multiple",1,"MCAR_0.25"
"V1",0.126246888268418,0.0558275694944159,0.016556864416241,0.235936912120595,-0.0737531117315822,1.05051225665812,1,"multiple",1,"MCAR_0.25"
"V2",0.204588984175514,0.0591252738714442,0.0884118128107398,0.320766155540289,0.0045889841755144,1.05051225665812,1,"multiple",1,"MCAR_0.25"
"V3",0.201088309563376,0.0610716274422488,0.0810483791599532,0.321128239966799,0.00108830956337633,1.05051225665812,1,"multiple",1,"MCAR_0.25"
"V4",0.188414504513688,0.0624452897526766,0.0657130041546484,0.311116004872727,-0.0115854954863124,1.05051225665812,1,"multiple",1,"MCAR_0.25"
"(Intercept)",-0.0378844096736062,0.0471080708700649,-0.130440839483894,0.0546720201366814,-0.0378844096736062,1.04673938574299,1,"vae",1,"MCAR_0.25"
"V1",0.124959372787703,0.0554857614608198,0.0159427246578355,0.233976020917571,-0.0750406272122968,1.04673938574299,1,"vae",1,"MCAR_0.25"
"V2",0.216156139855094,0.0591114514802745,0.100015852026094,0.332296427684093,0.0161561398550935,1.04673938574299,1,"vae",1,"MCAR_0.25"
"V3",0.196963475427393,0.0599906582817277,0.0790957502165509,0.314831200638235,-0.00303652457260704,1.04673938574299,1,"vae",1,"MCAR_0.25"
"V4",0.186288210409109,0.062047713293559,0.0643788493532411,0.308197571464976,-0.0137117895908913,1.04673938574299,1,"vae",1,"MCAR_0.25"
"(Intercept)",-0.0361967437378821,0.0470916685555424,-0.128720946805601,0.0563274593298371,-0.0361967437378821,1.04576438033164,1,"single",1,"MCAR_0.5"
"V1",0.140354064049008,0.0554623110807082,0.0313834904753836,0.249324637622632,-0.0596459359509923,1.04576438033164,1,"single",1,"MCAR_0.5"
"V2",0.190396660512224,0.0588517734419886,0.0747665797810733,0.306026741243374,-0.00960333948777611,1.04576438033164,1,"single",1,"MCAR_0.5"
"V3",0.205645281678516,0.0600069491930245,0.0877455486065979,0.323545014750435,0.00564528167851633,1.04576438033164,1,"single",1,"MCAR_0.5"
"V4",0.187413318245853,0.0621130223819106,0.0653756399836051,0.3094509965081,-0.0125866817541473,1.04576438033164,1,"single",1,"MCAR_0.5"
"(Intercept)",-0.0403657306501046,0.047337112895036,-0.133375003817828,0.052643542517619,-0.0403657306501046,1.04908178790075,1,"multiple",1,"MCAR_0.5"
